2023-04-30 15:34:02,110 4472 main INFO1	Logging session to temporary C:/Users/f270560/AppData/Local/Temp/pyaudisamfl9tqqil/pyaudisam-main.230430-153402.log
2023-04-30 15:34:02,111 4472 main INFO0	Current folder: C:/tmp/howto-acdc19-nat
2023-04-30 15:34:02,111 4472 main INFO0	Command line: C:/PortableApps/MiniConda3/envs/py38/lib/site-packages/pyaudisam/__main__.py -p acdc-2019-nat-ds-params.py -w ./anlys -o -u
2023-04-30 15:34:02,111 4472 main INFO0	Computation platform:
2023-04-30 15:34:02,111 4472 main INFO0	* os: Windows Enterprise 10.0.19041 (64bit)
2023-04-30 15:34:02,114 4472 main INFO0	* processor: Intel64 Family 6 Model 165 Stepping 2, GenuineIntel, 12 CPUs
2023-04-30 15:34:02,114 4472 main INFO0	* python: cpython (win32) R3.8.2 | packaged by conda-forge | (default, Apr 24 2020, 07:34:03) [MSC v.1916 64 bit (AMD64)]
2023-04-30 15:34:02,114 4472 main INFO0	* numpy: 1.23.2
2023-04-30 15:34:02,114 4472 main INFO0	* pandas: 1.2.5
2023-04-30 15:34:02,115 4472 main INFO0	* zoopt: 0.4.0
2023-04-30 15:34:02,115 4472 main INFO0	* matplotlib: 3.4.2
2023-04-30 15:34:02,115 4472 main INFO0	* jinja2: 3.0.1
2023-04-30 15:34:02,115 4472 main INFO0	* pyaudisam: 1.0.0
2023-04-30 15:34:02,116 4472 main INFO0	* DS engine: C:/PortableApps/Distance 7/MCDS.exe
2023-04-30 15:34:02,119 4472 main INFO0	This is a real run: requested operation will be actually run !
2023-04-30 15:34:02,119 4472 main INFO1	Arguments:
2023-04-30 15:34:02,119 4472 main INFO1	* realRun: True
2023-04-30 15:34:02,120 4472 main INFO1	* verbose: False
2023-04-30 15:34:02,120 4472 main INFO1	* paramFile: acdc-2019-nat-ds-params.py
2023-04-30 15:34:02,120 4472 main INFO1	* speParams: 
2023-04-30 15:34:02,120 4472 main INFO1	* workDir: ./anlys
2023-04-30 15:34:02,121 4472 main INFO1	* noTimestamp: False
2023-04-30 15:34:02,121 4472 main INFO1	* distExport: False
2023-04-30 15:34:02,121 4472 main INFO1	* preAnalyses: False
2023-04-30 15:34:02,121 4472 main INFO1	* analyses: False
2023-04-30 15:34:02,121 4472 main INFO1	* optAnalyses: True
2023-04-30 15:34:02,121 4472 main INFO1	* recoverOpts: False
2023-04-30 15:34:02,122 4472 main INFO1	* preReports: {}
2023-04-30 15:34:02,122 4472 main INFO1	* reports: {}
2023-04-30 15:34:02,122 4472 main INFO1	* optReports: {}
